machine_id,shift,runtime,temperature,vibration,pressure,load,maintenance,time_to_failure
M001,day,472.48136,53.55579,12.24497,3.67934,66.86267,0,348.46083
M001,day,481.791,57.65097,12.57911,3.8341,72.09258,0,320.7689
M001,day,491.90316,57.843,12.91518,3.95754,67.71362,0,298.42812
M001,day,502.15624,56.64147,13.20375,4.11369,68.6796,0,279.7661
M001,night,509.4681,58.10198,13.48827,4.19061,75.18238,0,252.66881
M001,day,530.18041,59.5629,14.16118,4.43806,66.79078,0,234.88357
M001,day,573.75445,56.69902,15.58549,5.02068,65.60049,0,156.67206
M001,day,599.46984,58.31928,16.53446,5.37071,76.56366,0,77.23804
M001,night,601.19049,57.21755,16.61804,5.30324,79.30685,1,191.29645
M001,day,626.00634,61.74671,17.58878,5.81504,74.9833,0,27.72981
M001,night,628.39118,61.85803,17.71086,5.8536,73.62431,0,32.07521
M001,day,628.84022,63.76447,17.72251,5.78765,70.54636,0,11.15131
M001,night,636.31811,55.9249,17.91209,5.879,67.49908,0,23.11385
M001,day,640.66283,56.73413,18.06573,5.91159,62.63827,0,15.58941
M001,night,640.85609,55.19799,18.07247,5.83407,67.75248,0,18.4584
M001,night,651.4344,59.87467,18.56808,6.18278,74.811,0,0.0
M001,day,668.46721,58.78458,19.21872,6.32718,63.35938,0,0.0
M001,day,699.33987,62.72096,20.63574,6.87424,75.90407,0,0.0
M001,night,706.62913,59.44378,20.8866,6.91753,73.79875,0,0.0
M001,day,743.3884,61.16509,22.55525,7.60869,71.88942,1,0.0
M001,night,745.57941,59.31518,22.60263,7.69159,75.14746,0,0.0
M001,day,754.91437,61.71366,23.09481,7.82789,73.17394,0,0.0
M001,day,754.97134,62.49664,23.12338,7.83796,71.44559,0,0.0
M001,day,755.45156,63.96893,23.13414,7.88921,70.63586,0,0.0
M001,night,775.92205,63.22021,24.10789,8.16771,70.46708,0,0.0
M001,day,783.20925,57.93401,24.35373,8.16999,58.54241,0,0.0
M001,day,795.17694,66.13321,25.07329,8.52949,72.83874,0,0.0
M001,day,804.04752,64.04949,25.46421,8.68008,71.90721,0,0.0
M001,day,814.2027,61.14807,25.93098,8.72037,61.84415,0,0.0
M001,night,822.77052,64.99945,26.44984,9.05878,77.49848,0,0.0
M001,night,831.25223,61.10069,26.78944,9.10997,71.48465,0,0.0
M001,day,837.11125,59.42019,27.0633,9.25315,70.06825,0,0.0
M001,night,840.477,60.76282,27.24119,9.27091,71.29368,0,0.0
M001,night,847.94886,64.01673,27.67636,9.46171,71.42393,0,0.0
M001,night,854.38408,58.81616,27.91001,9.55183,69.38329,1,0.0
M001,night,855.4732,57.51249,27.97624,9.56214,70.38246,0,0.0
M001,night,880.05742,58.15421,29.31375,10.12086,70.28948,0,0.0
M001,day,892.36446,67.12213,30.12985,10.32198,81.14138,0,0.0
M001,night,896.70553,62.64246,30.24089,10.43031,72.21791,0,0.0
M001,day,915.80826,66.29937,31.38061,10.75026,75.27743,0,0.0
M001,night,918.58226,64.31934,31.5244,10.89796,79.24179,0,0.0
M001,day,923.15284,65.47632,31.80272,10.96133,72.7301,0,0.0
M001,night,925.10505,60.08488,31.81166,10.87203,66.11805,0,0.0
M001,day,939.89179,66.18213,32.7651,11.36451,73.87274,0,0.0
M001,day,941.36585,68.88368,32.91962,11.33271,74.22722,0,0.0
M001,day,949.52107,63.4446,33.24138,11.35618,65.38734,0,0.0
M001,night,954.67378,56.47964,33.41508,11.42101,63.82273,0,0.0
M001,day,955.27807,61.79121,33.57944,11.54244,71.47697,0,0.0
M001,night,970.03736,62.55119,34.44632,11.92244,74.14314,1,0.0
M001,night,971.20896,62.31337,34.51994,11.85849,75.41427,0,0.0
M001,day,972.23365,65.25701,34.65679,11.89106,73.44309,0,0.0
M001,night,973.8772,60.19053,34.65526,11.98953,73.57319,0,0.0
M001,night,983.03175,62.3276,35.21237,12.04807,71.39101,0,0.0
M003,day,4.69863,52.4748,5.06099,0.22383,76.46095,0,995.64195
M003,day,6.11847,54.03714,5.07886,0.07649,71.98495,0,993.51289
M003,night,8.34112,51.90452,5.05314,0.19815,77.24764,0,972.76662
M003,day,10.85159,50.77427,5.016,0.16859,74.72768,0,996.23007
M003,night,49.62095,50.14173,5.12145,0.30832,76.80962,0,940.11076
M003,night,56.97648,51.76976,5.15557,0.27045,83.48331,0,939.20053
M003,day,69.73689,48.77884,5.17642,0.22024,62.10351,0,924.33595
M003,day,76.0546,54.3133,5.35697,0.44063,71.30716,0,906.41804
M003,day,86.1633,49.55092,5.28894,0.45149,62.68859,0,920.19377
M003,night,86.62722,47.41353,5.23063,0.37597,67.04795,1,1011.94382
M003,day,93.79887,48.83203,5.33412,0.46452,68.25366,0,910.9191
M003,day,111.95562,50.3449,5.47275,0.53414,63.94766,1,973.88384
M003,day,117.29891,49.1624,5.512,0.59891,66.93097,0,874.74476
M003,night,123.32892,52.3233,5.59799,0.61729,79.6144,0,867.40818
M003,night,141.1922,46.90273,5.68912,0.79706,70.32708,0,861.06031
M003,night,153.27651,53.13989,5.89746,0.89629,74.10395,0,826.90768
M003,day,155.96883,51.47869,5.92388,0.88766,73.19422,0,836.03484
M003,day,186.7583,48.68864,6.19569,0.98455,62.68421,0,784.55975
M003,night,187.95883,48.77046,6.21227,1.05578,69.11955,0,769.84375
M003,night,195.2801,51.86765,6.35619,1.15339,73.36497,0,733.24429
M003,day,198.70596,55.20282,6.47807,1.13403,75.08532,0,754.94456
M003,night,200.33624,52.53301,6.46194,1.16831,78.37746,0,748.15137
M003,night,202.73549,51.56338,6.44078,1.19151,70.53196,0,750.5057
M003,day,208.94275,49.8222,6.46497,1.12488,64.8549,0,765.99145
M003,night,211.54685,48.05462,6.48603,1.18237,61.07153,0,757.0309
M003,day,236.00337,48.38134,6.84686,1.37621,66.68947,0,718.71331
M003,day,239.18834,52.62942,6.98936,1.40758,71.33213,0,731.61
M003,night,239.57611,50.58146,6.93467,1.41116,76.07776,0,713.77065
M003,night,244.54543,54.47717,7.09647,1.5317,79.09216,0,679.40229
M003,day,257.80838,48.1772,7.21846,1.43907,56.929,0,697.4905
M003,day,266.57937,54.32351,7.44619,1.59675,77.57704,0,673.12388
M003,day,282.32438,50.46598,7.6569,1.79524,68.52466,0,652.34156
M003,night,283.59433,49.56713,7.69048,1.80885,66.75729,0,660.66329
M003,day,294.71193,57.57904,7.9879,1.88567,76.40829,0,617.83264
M003,night,309.09815,49.28728,8.13035,2.01039,70.5046,0,619.49771
M003,day,323.38927,54.44395,8.52602,2.17006,68.608,0,574.73451
M003,day,325.6453,53.63261,8.56492,2.18035,66.25338,0,600.43775
M003,night,327.16083,49.71371,8.5139,2.17378,69.46681,0,595.68771
M003,day,335.58202,53.35505,8.73687,2.2278,71.2842,0,556.32201
M003,day,348.50128,55.78489,9.04425,2.42655,70.93562,0,544.73484
M003,night,411.89716,55.05379,10.54568,3.01956,73.76664,0,450.15128
M003,night,418.08767,56.49362,10.7594,3.07603,80.34766,0,421.57251
M003,day,431.21868,55.39021,11.04104,3.25722,68.86561,0,412.58882
M003,night,432.88186,55.67682,11.09273,3.14776,73.45926,0,404.62308
M003,day,455.43532,55.4088,11.70429,3.44734,66.08931,0,375.04043
M003,day,455.7544,56.55119,11.79434,3.5012,67.23848,0,356.11582
M003,day,456.08557,55.55191,11.79837,3.44914,69.124,0,396.20146
M003,day,461.22478,58.91078,11.95321,3.55647,75.91305,0,355.74105
M003,night,484.174,58.76627,12.64334,3.76517,74.91511,0,317.11031
M003,night,492.1951,54.40096,12.80368,3.93242,74.29124,1,402.78333
M003,day,495.31743,54.13544,12.86813,3.94379,69.23652,0,299.96954
M003,night,498.64527,50.39122,12.91931,4.02226,65.9284,1,415.51182
M003,night,509.19566,58.63017,13.42031,4.21708,78.29495,1,364.26479
M003,night,518.97813,53.08578,13.59104,4.26236,69.62396,0,252.75661
M003,day,523.52791,53.54759,13.74251,4.25734,69.22043,1,371.4424
M003,day,533.30813,61.52235,14.21727,4.53889,73.03368,0,232.46271
M003,night,539.39921,55.7338,14.31568,4.56642,74.15087,0,220.02669
M003,day,561.05921,61.20539,15.1927,4.7691,73.54923,0,173.91127
M003,night,562.17895,58.06376,15.13101,4.85899,76.49694,0,185.00386
M003,day,568.64934,53.42181,15.28139,4.82983,68.29192,0,171.63593
M003,day,577.95073,61.21946,15.79551,5.03918,71.48047,0,124.49959
M003,day,589.35429,57.14766,16.07081,5.13105,65.1493,1,227.3358
M003,night,592.60256,51.07568,16.08743,5.25795,71.15679,0,136.1683
M003,day,594.95644,52.99313,16.2404,5.3173,63.642,0,109.50562
M003,night,622.89618,56.00823,17.3357,5.5915,67.03694,0,49.59613
M003,night,634.32927,60.15308,17.82915,5.82376,71.53164,0,25.77769
M003,night,644.13565,53.7746,18.04576,6.02009,74.75083,0,37.87501
M003,day,655.95438,60.02327,18.67445,6.22253,76.8632,0,0.0
M003,night,673.88901,57.86299,19.37219,6.42736,77.22019,0,0.0
M003,day,689.66814,58.33451,20.06963,6.73296,64.92795,1,30.98819
M003,night,705.01972,60.12165,20.74492,7.10063,77.01117,0,0.0
M003,night,713.40619,53.16575,20.96629,6.99143,68.21248,0,0.0
M003,night,742.78852,56.26044,22.34465,7.49006,72.83312,0,0.0
M003,day,745.65494,60.96805,22.56401,7.56874,69.74471,0,0.0
M003,night,776.76837,60.34377,24.00228,8.19853,75.8234,1,0.0
M003,night,791.18735,58.07897,24.64267,8.37431,74.86679,0,0.0
M003,night,802.47929,59.21474,25.22264,8.56018,70.56675,0,0.0
M003,night,818.71215,61.629,26.08293,8.99209,72.27357,0,0.0
M003,day,824.1733,65.70183,26.44989,9.02578,76.6461,0,0.0
M003,day,832.0677,58.27741,26.68939,9.05872,71.27725,0,0.0
M003,night,832.68836,56.87072,26.6824,9.01837,68.41825,0,0.0
M003,night,844.16556,62.32541,27.40453,9.39889,76.46256,0,0.0
M003,night,868.59809,63.46605,28.69292,9.86814,73.56746,0,0.0
M003,night,869.86409,62.78916,28.72043,9.93984,73.80455,0,0.0
M003,day,877.28538,61.39691,29.07534,9.95345,67.11535,1,0.0
M003,day,881.28569,57.54932,29.26309,9.9973,61.14586,0,0.0
M003,night,887.98047,59.18042,29.63857,10.16431,67.00766,0,0.0
M003,day,891.76773,66.46057,29.99551,10.28561,74.35455,0,0.0
M003,night,901.32932,59.34863,30.40066,10.43022,74.40165,0,0.0
M003,day,902.62496,59.27854,30.42317,10.4947,67.77,0,0.0
M003,night,919.98225,62.38458,31.49164,10.8114,76.50388,0,0.0
M003,day,932.39771,60.14167,32.12308,11.06199,67.97457,0,0.0
M003,night,941.88893,62.04467,32.6751,11.30337,77.96041,0,0.0
M003,night,965.58247,65.34518,34.1841,11.79214,77.6506,0,0.0
M003,night,971.15246,60.48344,34.36662,11.90661,72.71247,0,0.0
M003,night,971.73948,61.50194,34.4571,11.86093,66.71413,0,0.0
M003,day,982.08002,60.98265,35.00009,12.16017,66.35782,0,0.0
M003,night,983.72751,62.95401,35.1736,12.06961,66.0743,0,0.0
M003,night,993.87187,63.54788,35.80909,12.39089,74.54691,1,0.0
M003,night,998.47941,57.10629,36.0006,12.3988,65.63672,0,0.0
M004,night,0.4448,47.15342,4.95773,0.1013,65.58947,0,993.42311
M004,night,22.06367,46.31916,4.93046,0.15093,71.45581,0,982.24185
M004,day,24.49968,49.57412,5.0692,0.20829,73.29923,0,982.91134
M004,night,31.8238,52.51216,5.13991,0.17064,76.77339,0,961.44407
M004,day,37.61455,49.56807,5.08509,0.27953,68.71413,0,970.5918
M004,day,41.0063,47.23249,5.05331,0.29856,67.05137,0,982.80541
M004,night,54.42977,52.352,5.17741,0.34258,74.51902,0,933.9151
M004,night,62.0469,48.52475,5.15289,0.31872,70.5035,0,938.85524
M004,night,66.76402,47.01991,5.17982,0.33149,69.23149,0,925.86477
M004,day,78.97454,54.84401,5.36491,0.54412,73.81737,0,899.54732
M004,day,98.41518,55.31514,5.50019,0.60328,73.96513,0,883.50949
M004,day,107.09045,53.65689,5.51877,0.61658,77.16484,0,853.99383
M004,night,107.50204,49.57781,5.46525,0.56545,74.79568,0,879.71065
M004,day,113.21891,48.48782,5.46075,0.55776,68.18423,0,885.25177
M004,night,130.1199,49.53688,5.62659,0.66875,71.9363,0,857.66366
M004,day,180.38044,53.20114,6.25139,1.0448,72.00404,0,764.53438
M004,night,191.60921,52.13816,6.36021,1.11574,65.42331,0,775.03933
M004,night,192.46227,51.19419,6.36386,1.08739,74.99552,0,747.27317
M004,night,204.2681,51.12752,6.4877,1.25142,75.60864,0,744.54031
M004,day,208.32323,50.03063,6.50403,1.18781,65.37742,0,762.27968
M004,day,219.67421,56.90444,6.82407,1.34165,74.93654,0,724.3951
M004,day,223.31257,57.05612,6.88993,1.30214,70.3062,0,719.91234
M004,night,243.51525,53.62491,7.12483,1.53104,79.89668,0,686.16565
M004,night,258.78437,50.47024,7.27418,1.46895,63.14654,0,706.972
M004,day,259.04464,50.48328,7.29376,1.4807,66.69288,1,778.17894
M004,day,260.32966,49.34923,7.29671,1.56745,62.9728,1,775.56102
M004,night,260.90296,49.7197,7.31462,1.52499,67.35681,0,691.42103
M004,day,272.27359,57.445,7.65498,1.75334,69.09359,0,650.23835
M004,night,276.23612,53.37769,7.65791,1.74923,73.15387,0,648.44875
M004,night,283.10712,49.18938,7.72677,1.82226,64.14281,0,654.69898
M004,day,285.95116,53.63556,7.83166,1.7936,64.46695,0,637.38637
M004,day,299.22774,55.34382,8.14097,2.01953,70.41859,1,709.79804
M004,night,307.99964,52.18599,8.24125,2.0765,68.40369,0,619.09185
M004,day,310.10992,53.66104,8.29297,2.00369,63.87889,0,606.89835
M004,day,316.40279,57.44081,8.51629,2.1109,74.76043,0,583.95986
M004,day,336.34932,56.93659,8.87706,2.22883,70.36853,0,547.17532
M004,night,344.95998,55.36485,9.06012,2.30571,78.48992,0,532.83834
M004,night,349.17826,51.95388,9.10371,2.3813,69.37909,0,543.82557
M004,night,369.13905,54.56508,9.56845,2.61925,72.50541,0,514.61715
M004,night,373.6981,51.26886,9.64091,2.64998,75.32703,1,592.92683
M004,night,383.70074,54.17607,9.95976,2.74626,68.58623,0,498.03407
M004,day,393.86817,59.22741,10.27907,2.89555,74.38203,0,451.09749
M004,night,397.99232,50.87915,10.19708,2.89894,73.92341,0,450.5567
M004,night,399.84214,51.56106,10.27985,2.85669,64.39702,0,471.81948
M004,night,410.64406,57.63645,10.64782,3.05811,79.326,0,428.8325
M004,night,414.88989,57.01527,10.78403,3.10864,74.40855,0,428.5954
M004,night,429.01532,53.73533,11.06704,3.15389,64.97706,0,398.10435
M004,night,454.66536,54.36592,11.75088,3.60716,71.87514,0,373.42864
M004,night,463.38175,56.18188,12.13283,3.63601,73.72444,0,345.11058
M004,day,480.05883,59.85052,12.64292,3.86647,74.33816,0,307.6986
M004,day,490.13793,58.73731,12.93756,3.88366,70.63443,0,288.45703
M004,day,495.23504,55.93307,13.01674,4.02011,67.20513,0,284.86775
M004,night,503.38023,56.61007,13.31838,4.00845,69.7173,0,257.53478
M004,day,508.26213,63.18951,13.56949,4.2052,77.56195,0,247.13996
M004,night,511.38043,60.07376,13.61961,4.28413,76.36696,1,340.57976
M004,day,513.55459,60.73458,13.69817,4.24547,75.08064,0,231.4253
M004,night,520.96893,53.15926,13.77817,4.29157,63.14672,0,257.66016
M004,day,521.32617,55.89459,13.86733,4.28042,66.63831,0,241.2798
M004,night,521.81106,52.46228,13.79259,4.26544,63.15478,0,233.31589
M004,day,537.67384,61.15794,14.48369,4.61128,77.06759,0,193.62531
M004,day,541.62607,56.81372,14.51573,4.55777,67.15527,0,211.11304
M004,day,567.07587,57.56298,15.40423,5.00129,70.03161,0,147.35479
M004,night,578.62846,59.97598,15.8474,5.07343,72.88555,0,123.62038
M004,night,581.39602,60.27439,15.97779,5.06466,73.49865,0,118.68995
M004,day,597.73957,58.32626,16.56046,5.32823,60.68224,1,197.75871
M004,day,606.29347,63.376,16.97892,5.52245,72.43278,0,41.56865
M004,day,613.06201,58.76989,17.12907,5.56207,62.28984,0,62.6514
M004,night,614.53648,56.9426,17.12206,5.45052,70.80669,0,58.56281
M004,night,615.13408,57.12026,17.15604,5.56493,63.75589,0,81.80156
M004,day,623.72061,59.77054,17.53484,5.71799,66.36473,0,39.0385
M004,day,634.45225,62.7334,18.00269,5.82965,74.37601,0,7.01387
M004,day,649.69531,61.31701,18.59635,6.08073,71.80273,0,0.0
M004,night,672.62346,60.32565,19.50218,6.44294,65.30923,0,0.0
M004,night,673.10791,60.38751,19.50409,6.48961,71.99375,0,0.0
M004,day,678.33977,64.79215,19.85203,6.55614,73.88441,0,0.0
M004,day,717.80638,60.69533,21.45931,7.23178,70.48957,0,0.0
M004,night,719.5882,59.66474,21.5155,7.17686,67.78471,0,0.0
M004,day,730.49072,64.30087,22.09301,7.4437,71.01097,0,0.0
M004,day,740.03285,60.20884,22.4518,7.50003,62.98771,0,0.0
M004,day,751.2961,64.39745,23.05827,7.68059,71.35169,0,0.0
M004,night,760.6688,58.58584,23.33757,7.7945,66.83422,0,0.0
M004,night,773.37819,61.89481,24.04188,8.14112,75.09444,0,0.0
M004,day,786.20716,59.08733,24.62615,8.33859,63.12308,0,0.0
M004,day,800.15811,66.62697,25.42769,8.71798,74.75004,0,0.0
M004,day,806.39442,61.73521,25.61082,8.69403,64.3176,1,0.0
M004,day,815.61019,63.67434,26.15229,8.94171,64.74501,0,0.0
M004,day,816.84959,65.26098,26.21399,8.85762,74.85259,0,0.0
M004,day,837.55531,61.26909,27.17701,9.1802,64.71268,0,0.0
M004,night,840.81683,62.53826,27.36933,9.34701,70.59348,0,0.0
M004,night,843.42156,63.89407,27.59661,9.43113,72.08298,0,0.0
M004,night,844.87599,65.99107,27.66283,9.53409,82.12261,1,0.0
M004,night,846.07167,65.87092,27.70025,9.45809,75.19819,0,0.0
M004,night,848.56416,64.45472,27.81416,9.47148,73.86099,0,0.0
M004,day,867.10723,66.75868,28.82335,9.95297,71.52523,1,0.0
M004,day,876.8013,64.21473,29.27542,10.01768,68.33797,0,0.0
M004,day,890.80073,67.15592,30.11973,10.36586,68.88426,0,0.0
M004,day,892.12823,66.61208,30.19785,10.26257,71.37273,0,0.0
M004,night,899.05618,64.44882,30.50785,10.49784,80.67347,0,0.0
M004,day,908.65166,59.76983,30.95195,10.62131,68.07067,0,0.0
M004,day,942.60552,67.16758,33.02458,11.35283,67.7847,0,0.0
M004,day,17.57228,46.47861,4.94125,0.1267,64.47337,1,1081.49116
M004,day,21.2537,47.03026,4.98818,0.15973,66.22447,1,1085.56624
M004,day,30.22803,53.74121,5.18744,0.19046,74.14327,0,953.49435
M004,day,65.4563,47.27491,5.14953,0.41347,61.41937,0,941.76578
M004,night,72.61408,47.78107,5.21865,0.3574,68.81564,1,1034.36836
M004,day,76.55548,53.89583,5.34571,0.46137,70.6998,0,886.72255
M004,day,89.63291,48.93549,5.30353,0.47931,65.59631,0,902.57047
M004,night,103.0328,52.10145,5.44175,0.63332,73.33286,0,856.34119
M004,day,117.85857,49.26881,5.51797,0.56848,67.70144,0,859.19085
M004,day,122.02223,54.69547,5.64966,0.76823,75.60692,0,855.45429
M004,night,131.1027,50.82243,5.67755,0.7409,72.79411,0,839.6889
M004,day,134.79378,49.62232,5.67691,0.65935,67.49263,0,850.81631
M004,day,135.64271,51.06344,5.73525,0.70625,64.94562,0,844.26881
M004,day,143.09132,50.52034,5.79621,0.66363,69.31922,0,849.40225
M004,night,167.98842,49.80901,6.01678,0.84982,73.98033,0,790.51805
M004,day,170.06396,55.2474,6.13592,0.88282,73.54951,0,793.02283
M004,day,175.7859,56.1488,6.26116,1.0285,75.59528,0,777.71747
M004,day,199.42906,58.99347,6.61406,1.14817,76.2579,0,737.71983
M004,night,233.90823,51.59966,6.93647,1.35111,65.42118,0,719.56095
M004,night,273.00151,55.03134,7.64323,1.69789,71.47653,0,628.55403
M004,day,278.92728,51.21787,7.66813,1.7576,61.98076,0,648.47595
M004,day,280.65841,52.28232,7.6957,1.74814,67.29418,0,641.33241
M004,day,286.01181,56.15031,7.90753,1.72635,71.00012,0,622.56224
M004,night,291.93978,55.09564,7.97134,1.91543,74.68928,0,611.2427
M004,day,311.64009,54.02242,8.35725,1.98372,71.41315,0,592.34652
M004,day,333.8195,52.91718,8.79911,2.24512,61.48326,0,566.74952
M004,day,349.02219,55.96799,9.12231,2.44706,68.09606,0,535.20326
M004,day,352.52724,54.0757,9.20218,2.38933,65.64412,0,537.57834
M004,night,353.81489,51.12274,9.17578,2.34797,60.7509,0,527.30106
M004,day,357.4306,54.90573,9.35505,2.48282,67.63812,0,521.90195
M004,night,362.07076,55.60803,9.44644,2.63233,77.13238,0,498.58579
M004,night,389.26305,58.84403,10.09631,2.86724,79.50287,0,453.7617
M004,night,401.03941,51.318,10.3289,2.89861,66.69955,0,458.20398
M004,night,407.91689,54.62257,10.52235,3.01593,74.24805,0,445.82704
M004,day,411.12637,57.57898,10.68843,3.04357,72.20444,0,423.36396
M004,day,425.64296,54.31605,10.97208,3.14471,63.26833,0,422.93674
M004,night,448.78035,52.74431,11.56471,3.43309,68.50854,0,375.22861
M004,night,450.95994,51.43105,11.62199,3.49585,65.16698,0,392.11435
M004,day,457.91827,57.72606,11.94737,3.57106,68.37613,1,462.69659
M004,day,462.30352,60.63535,12.12478,3.72155,76.54326,0,320.33165
M004,night,462.44973,58.91737,12.1033,3.71513,74.18571,0,345.50167
M004,night,469.24082,53.99194,12.19391,3.72213,70.32499,0,336.41948
M004,night,473.30725,54.67827,12.3719,3.70862,67.21302,0,321.91867
M004,day,473.36412,53.60728,12.29095,3.62356,67.23901,1,435.16916
M004,day,488.0678,62.21116,12.94709,3.93854,73.46618,0,298.02992
M004,night,492.15418,54.24418,12.88391,3.98692,75.50453,1,408.05994
M004,day,505.57771,60.54099,13.41081,4.17919,70.19387,0,255.76385
M004,day,516.77727,59.02638,13.74308,4.33611,68.31965,0,247.19699
M004,night,517.5432,54.34734,13.68799,4.19453,71.25074,0,261.061
M004,night,518.96531,55.22124,13.77615,4.33321,67.98827,0,244.34016
M004,night,522.13632,52.93394,13.83729,4.18861,64.83438,0,252.5614
M004,night,534.97644,60.61267,14.37523,4.52728,77.84074,0,200.36587
M004,day,537.2967,61.60427,14.47004,4.578,74.5041,0,194.06538
M004,night,538.60295,59.51349,14.4938,4.50155,70.21329,0,187.92885
M004,night,538.85549,59.05716,14.50241,4.5983,70.01009,0,204.37019
M004,night,545.32797,54.50408,14.59698,4.51497,60.13114,0,211.02166
M004,day,547.29526,56.3293,14.74504,4.6478,60.16159,0,169.83255
M004,day,556.85741,60.5655,15.09292,4.75849,75.29623,0,179.10846
M004,night,559.34157,59.96902,15.19646,4.83255,77.10928,0,164.02415
M004,night,568.2056,56.17265,15.43045,4.88706,71.2807,0,159.55472
M004,night,579.52547,58.54264,15.87577,5.18106,77.8914,0,116.46379
M004,day,582.36024,62.91716,16.05402,5.2016,74.75898,0,106.66144
M004,day,588.73004,58.62312,16.20533,5.25344,69.79064,0,115.61729
M004,day,596.90285,57.70005,16.50898,5.35815,64.89984,0,106.52102
M004,day,614.67211,57.78383,17.16736,5.61347,68.13123,0,76.66583
M004,day,640.05084,56.41792,18.1044,6.05205,65.98671,1,100.4237
M004,night,649.72677,61.3288,18.61591,6.18499,81.00747,1,56.9402
M004,day,652.54748,64.9674,18.77647,6.19082,74.19463,0,0.0
M004,day,652.645,63.57365,18.75364,6.10373,77.57391,0,0.0
M004,day,666.17243,58.06368,19.1793,6.32302,65.18628,0,0.0
M004,night,670.74161,57.02443,19.37829,6.44151,72.73016,0,0.0
M004,day,674.38478,62.82985,19.64383,6.53245,68.59781,0,0.0
M004,day,684.96623,62.14846,20.04728,6.71348,65.7121,0,0.0
M004,night,702.03016,60.78553,20.76959,6.92893,80.17643,0,0.0
M004,night,705.77403,60.91848,20.95661,6.91681,73.24426,1,0.0
M004,day,729.53761,64.06956,22.04295,7.42252,73.00784,0,0.0
M004,day,731.58634,62.55788,22.09013,7.46219,75.33329,0,0.0
M004,night,737.62345,55.70185,22.26845,7.52169,68.03764,0,0.0
M004,day,741.26484,61.53395,22.55785,7.6504,68.45817,0,0.0
